airbnb_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
4873463,"Cozy Pied-a-Terre, the Heart of DC",7220554,TheoDora,"Dupont Circle, Connecticut Avenue,K Street",38.91518263,-77.03925945,"Entire home,apt",95,2,29,1.01,3,53
16736650,"Large, welcoming studio in a central location",47945335,Nina,"Dupont Circle, Connecticut Avenue,K Street",38.91258032,-77.04272065,"Entire home,apt",200,1,2,0.55,1,0
14999877,Newly Renovated Apartment in the Heart of DC,10325135,Rory,"Dupont Circle, Connecticut Avenue,K Street",38.91706161,-77.03586862,"Entire home,apt",100,27,0,0.0,1,0
5955860,Spacious Dupont Circle Condo,3873893,Feras,"Dupont Circle, Connecticut Avenue,K Street",38.90981485,-77.04612379,"Entire home,apt",129,2,79,3.13,2,324
15655208,"Luxury historic rowhouse; Adams Morgan,Dupont,UStr",73613929,Courtney,"Dupont Circle, Connecticut Avenue,K Street",38.91675913,-77.04034922,"Entire home,apt",500,2,1,1.0,1,81
4022565,"Dupont, Adams Morgan, U Townhouse 3",5487930,Mark,"Dupont Circle, Connecticut Avenue,K Street",38.9154502,-77.04020342,Private room,110,6,7,0.23,13,357
15968425,"Cozy 1-BR Apartment in Dupont, Walk Score of 98",23211126,Henry,"Dupont Circle, Connecticut Avenue,K Street",38.91518498,-77.03767874,"Entire home,apt",225,3,3,0.82,1,48
1301700,"DuPont,Logan Circle Studio",7077536,Brett,"Dupont Circle, Connecticut Avenue,K Street",38.90684453,-77.03475492,"Entire home,apt",79,3,4,0.09,1,0
646183,"2 Bed - Dupont,Adams Morgan,U St",3104115,Olivier,"Dupont Circle, Connecticut Avenue,K Street",38.91734441,-77.03875579,"Entire home,apt",172,1,24,0.48,1,0
14769106,Spacious & Sunny 1BR Apt @Dupont Circle with view!,92131371,Evan And Sabrina,"Dupont Circle, Connecticut Avenue,K Street",38.91242253,-77.03812669999999,Private room,110,1,4,0.67,1,10
16669509,15th Street Luxury Loft with parking,110267232,John,"Dupont Circle, Connecticut Avenue,K Street",38.91212286,-77.03542034,"Entire home,apt",1700,2,0,0.0,1,90
18373434,A local's paradise,39930655,Nicole,"Dupont Circle, Connecticut Avenue,K Street",38.91610242,-77.04159675,"Entire home,apt",110,1,0,0.0,24,42
16243414,"Hip Studio in Dupont Circle,U Street",23347682,Breuk,"Dupont Circle, Connecticut Avenue,K Street",38.91688524,-77.03462308,"Entire home,apt",110,2,23,5.66,1,90
15784674,Dupont Circle Open Loft,51243616,Natalie,"Dupont Circle, Connecticut Avenue,K Street",38.9115973,-77.03988424,"Entire home,apt",115,3,3,1.41,1,16
4218583,"Dupont, Adams Morgan U Townhouse 2",5487930,Mark,"Dupont Circle, Connecticut Avenue,K Street",38.91487418,-77.04143615,Private room,99,7,6,0.2,13,222
13098667,"Sunny, Comfortable Studio in Ideal Location",61086329,Lindsey,"Dupont Circle, Connecticut Avenue,K Street",38.91076264,-77.03827633,"Entire home,apt",95,2,5,0.43,1,0
16244345,"1 bedroom in beautiful apartment, great location!",6936855,Andrea,"Dupont Circle, Connecticut Avenue,K Street",38.91164561,-77.03480056,Private room,50,20,1,0.19,1,0
5560185,Dupont West 3: Charming Studio,28825130,Greg,"Dupont Circle, Connecticut Avenue,K Street",38.90819518,-77.04765041,"Entire home,apt",150,2,129,5.06,3,34
5560149,Bright apartment in Dupont Circle,5169749,Livia & Manuel,"Dupont Circle, Connecticut Avenue,K Street",38.91328045,-77.03766393,"Entire home,apt",150,1,19,0.95,2,45
15554376,Extraordinary Dupont Circle Suite,100131261,Kerry,"Dupont Circle, Connecticut Avenue,K Street",38.908595899999995,-77.04563519,Private room,95,3,11,1.84,1,72
12932894,Great 1 br apt in perfect location,10703781,Roshni,"Dupont Circle, Connecticut Avenue,K Street",38.911965,-77.03802725,"Entire home,apt",150,1,4,0.35,1,0
16602888,Cute 2 BR 2.5 BA in the heart of it all!,63726060,Carlena,"Dupont Circle, Connecticut Avenue,K Street",38.91735764,-77.03884963,"Entire home,apt",800,2,0,0.0,1,0
16604304,"2-BR,1-BA duplex in Dupont Circle",109554906,Jonah,"Dupont Circle, Connecticut Avenue,K Street",38.91226954,-77.03534685,"Entire home,apt",300,1,0,0.0,1,86
3329489,Yellow ADMO Row House,16816862,Darian,"Dupont Circle, Connecticut Avenue,K Street",38.91806404,-77.03817459,Private room,128,1,0,0.0,1,0
12833506,U ST- Adams Morgan,14862264,Robert,"Dupont Circle, Connecticut Avenue,K Street",38.91756891,-77.03758715,"Entire home,apt",400,1,3,0.27,1,89
8704621,Beautiful DuPont Circle Studio #714,39930655,Nicole,"Dupont Circle, Connecticut Avenue,K Street",38.91334369,-77.03810990000001,"Entire home,apt",135,1,122,6.33,24,333
16437901,Spacious and Convenient Dupont studio,83394726,Madelaine,"Dupont Circle, Connecticut Avenue,K Street",38.90980423,-77.04259118,"Entire home,apt",120,2,3,0.78,1,54
16405079,DC Proper - The Lincoln Room,39930655,Nicole,"Dupont Circle, Connecticut Avenue,K Street",38.91197344,-77.04332738,Private room,135,1,33,7.07,24,25
17879596,Beautiful room in historic U Street rowhouse,12946512,Claire,"Dupont Circle, Connecticut Avenue,K Street",38.91646935,-77.04076003,Private room,65,1,5,3.06,1,190
4351015,Quiet room near Dupont Circle metro,9875908,Courtney,"Dupont Circle, Connecticut Avenue,K Street",38.91520666,-77.03839138,Private room,74,3,14,0.45,1,0
10836110,"Stylish 1BR steps to 14th , Logan hot spots!",4904942,Ken,"Dupont Circle, Connecticut Avenue,K Street",38.91562118,-77.03459444,"Entire home,apt",130,3,47,3.19,1,28
150109,Great apartment in perfect location,723470,Steffanie,"Dupont Circle, Connecticut Avenue,K Street",38.91499766,-77.03852962,"Entire home,apt",135,6,22,0.33,1,1
13748806,"Perfect location in DuPont, D.C.",45200055,Jess,"Dupont Circle, Connecticut Avenue,K Street",38.91383613,-77.04261281,"Entire home,apt",275,1,0,0.0,1,13
1198461,"DuPont Place 9 - Metro, kitchenette",17633,Charlotte,"Dupont Circle, Connecticut Avenue,K Street",38.91625773,-77.04216131,"Entire home,apt",179,2,57,1.33,33,313
5294453,Stylish Studio in Dupont Circle,5034891,Yassin,"Dupont Circle, Connecticut Avenue,K Street",38.90642474,-77.04505461,Private room,100,1,0,0.0,1,0
1198315,"DuPont Place 6, Metro, kitchenette",17633,Charlotte,"Dupont Circle, Connecticut Avenue,K Street",38.91513784,-77.04338211,"Entire home,apt",129,2,85,1.88,33,284
2808417,"Upscale 1 BR (Dupont, U & 14th St.)",14363575,Julie,"Dupont Circle, Connecticut Avenue,K Street",38.91816271,-77.03716814,"Entire home,apt",140,2,66,1.79,1,47
17586779,Large Studio in Central Dupont Location,33907571,Luisa,"Dupont Circle, Connecticut Avenue,K Street",38.91055218,-77.03766002,"Entire home,apt",95,1,5,2.78,1,33
7800582,Dupont #2 Condo. Prime Location,41047431,Anton,"Dupont Circle, Connecticut Avenue,K Street",38.90907338,-77.04529166,"Entire home,apt",132,3,31,3.43,6,255
16143403,Huge Dupont apartment short walk from White House,18885084,Max,"Dupont Circle, Connecticut Avenue,K Street",38.90921786,-77.04046804,"Entire home,apt",1000,2,0,0.0,1,89
16176174,B - Great room for business traveler - Heart of DC,15044614,Sanjay,"Dupont Circle, Connecticut Avenue,K Street",38.91697943,-77.03556818,Private room,120,1,0,0.0,5,352
16627888,3 storey rowhome in perfect location!,3153633,Jaeson,"Dupont Circle, Connecticut Avenue,K Street",38.91539234,-77.03860135,"Entire home,apt",160,1,0,0.0,1,0
10340334,"U Street,Dupont,AdamsMo 1BR!",19251305,Frank,"Dupont Circle, Connecticut Avenue,K Street",38.91754678,-77.03748681,"Entire home,apt",150,2,1,0.09,1,0
13915106,Modern DuPont Studio #3,39930655,Nicole,"Dupont Circle, Connecticut Avenue,K Street",38.91730684,-77.03924191,"Entire home,apt",110,1,69,6.85,24,305
3429149,Private bedroom in family home.,347943,Daniel,"Dupont Circle, Connecticut Avenue,K Street",38.91385199,-77.03705935,Private room,76,1,2,0.92,2,176
