neighbourhood,price,number_of_reviews,reviews_per_month,availability_365,airbnb_counts_per_neighbourhood,total_reviews_per_neighbourhood,neighirhood_cluster,number_of_crimes,crime_rate
"Brightwood Park, Crestwood, Petworth",197.49595687331535,18.393530997304584,1.399622641509434,150.37735849056602,371,6824,Cluster 18,1411,4.314456947162427
"Brookland, Brentwood, Langdon",149.52631578947367,20.195488721804512,1.5551879699248123,163.1203007518797,133,2686,Cluster 22,1244,3.803816046966732
"Capitol Hill, Lincoln Park",334.1200585651537,25.68814055636896,1.7021815519765737,135.497803806735,683,17545,Cluster 26,1461,4.467343444227006
"Capitol View, Marshall Heights, Benning Heights",111.7719298245614,12.68421052631579,1.2191228070175437,229.01754385964912,57,723,Cluster 33,923,2.822284735812133
"Cathedral Heights, McLean Gardens, Glover Park",228.73972602739727,9.897260273972602,0.8034246575342467,108.24657534246575,146,1445,Cluster 14,235,0.7185665362035225
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",255.0737704918033,16.295081967213115,1.280655737704918,128.98360655737704,122,1988,Cluster 15,328,1.0029354207436398
"Colonial Village, Shepherd Park, North Portal Estates",221.82978723404256,7.8936170212765955,0.761063829787234,213.48936170212767,47,371,Cluster 16,150,0.4586594911937377
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",188.58229426433914,18.733167082294266,1.3701371571072316,130.1795511221945,802,15024,Cluster 2,2654,8.115215264187867
"Congress Heights, Bellevue, Washington Highlands",213.4,14.657142857142857,1.2468571428571427,118.85714285714286,35,513,Cluster 39,1284,3.9261252446183956
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",132.52380952380952,6.857142857142857,1.7442857142857147,135.28571428571428,21,144,Cluster 31,950,2.904843444227006
"Douglas, Shipley Terrace",196.2,29.15,1.2795,248.15,20,583,Cluster 38,568,1.7367906066536203
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",350.48577680525165,15.00656455142232,1.0374179431072215,165.82056892778994,457,6858,Cluster 8,2307,7.054182974559686
"Dupont Circle, Connecticut Avenue,K Street",245.2495511669659,22.92100538599641,1.389748653500896,125.3770197486535,557,12767,Cluster 6,1605,4.907656555772994
